# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 200 400 80 160 0.0438088 0.0516103 0.0486097 0.0718144 0.878276 0.929086 0.90158
 200 400 80 80 0.0364109 0.0436131 0.0409123 0.0560168 0.89847 0.948785 0.915875
 200 400 160 160 0.069607 0.0821082 0.080008 0.113811 0.807881 0.883388 0.848285
 200 500 0 160 0.035207 0.0381076 0.0366073 0.0426085 0.968794 0.985597 0.972995
 200 500 0 80 0.0364036 0.0385039 0.0375038 0.0416042 0.975498 0.988299 0.979998
 200 500 0 0 0.0288115 0.0303121 0.0293117 0.032613 0.977791 0.989796 0.980992
 200 500 80 160 0.0428086 0.0447089 0.0445089 0.04991 0.962893 0.981796 0.969694
 200 500 80 80 0.0361036 0.0388039 0.0367037 0.0420042 0.971997 0.986699 0.976298
 200 500 160 160 0.0778467 0.0827496 0.0808485 0.0931559 0.940865 0.968381 0.952672
 200 600 0 160 0.0330132 0.0344138 0.0334134 0.0364146 0.986495 0.993597 0.988695
 200 600 0 80 0.0281 0.0288 0.0288 0.0301 0.9894 0.9957 0.991
 200 600 0 0 0.0302121 0.0313125 0.0304122 0.032513 0.989496 0.996899 0.990396
 200 600 80 160 0.0381076 0.0407081 0.0387077 0.0432086 0.983997 0.992198 0.986197
 200 600 80 80 0.0359144 0.0370148 0.0369148 0.0389156 0.987995 0.995098 0.990396
 200 600 160 160 0.0721072 0.0751075 0.0736074 0.0790079 0.973297 0.989299 0.977298
 200 700 0 160 0.0317159 0.0322161 0.0318159 0.0331166 0.993997 0.997399 0.994397
 200 700 0 80 0.0272082 0.0283085 0.0272082 0.0287086 0.994298 0.998199 0.994598
 200 700 0 0 0.026508 0.0273082 0.026508 0.0278083 0.995599 0.9987 0.995799
 200 700 80 160 0.036018 0.0368184 0.0362181 0.0375188 0.992896 0.996798 0.993997
 200 700 80 80 0.0357071 0.0368074 0.0358072 0.0374075 0.992498 0.997399 0.993099
 200 700 160 160 0.056817 0.0584175 0.0573172 0.060018 0.988296 0.995899 0.989297
 200 800 0 160 0.0280084 0.0291087 0.0284085 0.029909 0.993598 0.997899 0.994498
 200 800 0 80 0.0258077 0.0262079 0.0261078 0.026808 0.995899 0.997899 0.996699
 200 800 0 0 0.0276028 0.0281028 0.0278028 0.0286029 0.9964 0.9988 0.9968
 200 800 80 160 0.0309093 0.0313094 0.0309093 0.0318095 0.995499 0.998099 0.995999
 200 800 80 80 0.0345138 0.035114 0.0347139 0.0356142 0.996399 0.998499 0.996999
 200 800 160 160 0.0556278 0.0566283 0.0562281 0.057929 0.991896 0.996898 0.992896
 200 900 0 160 0.0274082 0.0276083 0.0277083 0.0283085 0.997599 0.9987 0.997999
 200 900 0 80 0.0251126 0.0252126 0.0253127 0.0254127 0.997599 0.9994 0.997899
 200 900 0 0 0.0271054 0.0271054 0.0271054 0.0275055 0.9976 0.9991 0.9976
 200 900 80 160 0.0328033 0.0334033 0.0328033 0.0335034 0.9977 0.9992 0.9979
 200 900 80 80 0.0291087 0.0294088 0.0292088 0.0296089 0.997499 0.9992 0.997699
 200 900 160 160 0.0581174 0.0592178 0.0584175 0.0598179 0.993998 0.9984 0.994598
 200 1000 0 160 0.0252076 0.0257077 0.0252076 0.0257077 0.9986 0.9998 0.9986
 200 1000 0 80 0.0260026 0.0261026 0.0262026 0.0264026 0.9977 0.9993 0.998
 200 1000 0 0 0.0271108 0.0273109 0.0273109 0.027611 0.998399 0.9993 0.9988
 200 1000 80 160 0.0273109 0.027611 0.027411 0.0279112 0.997899 0.9991 0.998199
 200 1000 80 80 0.0307031 0.0309031 0.0307031 0.0309031 0.998 0.9998 0.9982
 200 1000 160 160 0.052621 0.0529212 0.0530212 0.0535214 0.996499 0.9989 0.997099
 200 1100 0 160 0.0225113 0.0226113 0.0225113 0.0226113 0.998099 0.9994 0.998399
 200 1100 0 80 0.0253076 0.0256077 0.0253076 0.0256077 0.9985 0.9996 0.9986
 200 1100 0 0 0.0224067 0.0224067 0.0224067 0.0225068 0.9988 0.9995 0.999
 200 1100 80 160 0.0263105 0.0266106 0.0263105 0.0266106 0.997999 0.9996 0.998099
 200 1100 80 80 0.0289116 0.0290116 0.0289116 0.0290116 0.998499 0.9998 0.998499
 200 1100 160 160 0.0478239 0.0483242 0.0478239 0.0484242 0.997499 0.9991 0.997799
 200 1200 0 160 0.0228023 0.0229023 0.0228023 0.0229023 0.9992 0.9997 0.9992
 200 1200 0 80 0.0271081 0.0272082 0.0271081 0.0273082 0.9987 0.9998 0.9987
 200 1200 0 0 0.0249075 0.0250075 0.0250075 0.0252076 0.9993 0.9997 0.9994
 200 1200 80 160 0.0275055 0.0276055 0.0275055 0.0279056 0.9981 0.999 0.9985
 200 1200 80 80 0.0292029 0.0292029 0.0292029 0.0292029 0.9992 0.9995 0.9994
 200 1200 160 160 0.0519104 0.0524105 0.0520104 0.0526105 0.996599 0.999 0.996999
 200 1300 0 160 0.0264079 0.026508 0.0264079 0.026608 0.9993 0.9998 0.9993
 200 1300 0 80 0.0230023 0.0231023 0.0230023 0.0232023 0.9994 0.9999 0.9994
 200 1300 0 0 0.0250025 0.0253025 0.0250025 0.0254025 0.9991 0.9996 0.9992
 200 1300 80 160 0.0288144 0.0290145 0.0290145 0.0294147 0.998399 0.9992 0.998699
 200 1300 80 80 0.0288144 0.0291146 0.0289145 0.0295148 0.997599 0.998999 0.997799
 200 1300 160 160 0.0487049 0.0491049 0.0489049 0.0494049 0.9968 0.9989 0.9972
 200 1400 0 160 0.0240072 0.0242073 0.0241072 0.0243073 0.9986 0.9994 0.9989
